position,score,protein
1,0.11044242978096004,amypro22_0
2,0.088175247,amypro22_0
3,0.087881778,amypro22_0
4,0.073012804,amypro22_0
5,0.061652995,amypro22_0
6,0.05736878,amypro22_0
7,0.042714599,amypro22_0
8,0.042115068435668895,amypro22_0
9,0.049941962,amypro22_0
10,0.081470428,amypro22_0
11,0.20026125808556872,amypro22_0
12,0.22207907,amypro22_0
13,0.22568833728631335,amypro22_0
14,0.22480798562367754,amypro22_0
15,0.20516061712429892,amypro22_0
16,0.1708840974063908,amypro22_0
17,0.051278495,amypro22_0
18,0.026402796667510556,amypro22_0
19,0.025325932,amypro22_0
20,0.027272217831705303,amypro22_0
21,0.094888555,amypro22_0
22,0.180448099,amypro22_0
23,0.3016453416241954,amypro22_0
24,0.4234847128391266,amypro22_0
25,0.5020923972129822,amypro22_0
26,0.5867022067308425,amypro22_0
27,0.6113880505164464,amypro22_0
28,0.643781962,amypro22_0
29,0.6029768298069637,amypro22_0
30,0.4943799942731857,amypro22_0
31,0.4150161822636922,amypro22_0
32,0.35625763436158503,amypro22_0
33,0.3074732611576716,amypro22_0
34,0.20127773980299632,amypro22_0
35,0.15801128844420112,amypro22_0
36,0.1699303776025772,amypro22_0
37,0.16699466804663335,amypro22_0
38,0.13176461767895184,amypro22_0
39,0.089059064,amypro22_0
40,0.077746879,amypro22_0
41,0.058254465,amypro22_0
42,0.056971776,amypro22_0
43,0.063089506,amypro22_0
44,0.06876688,amypro22_0
45,0.073308419,amypro22_0
46,0.083184809,amypro22_0
47,0.07458304,amypro22_0
48,0.05749361,amypro22_0
49,0.10589982370535528,amypro22_0
50,0.15456939438978826,amypro22_0
51,0.16267803013324733,amypro22_0
52,0.17080183625221249,amypro22_0
53,0.19321170945962263,amypro22_0
54,0.22676607072353358,amypro22_0
55,0.2190503507852554,amypro22_0
56,0.2137254248062769,amypro22_0
57,0.24797729154427842,amypro22_0
58,0.28406380017598465,amypro22_0
59,0.30369753340880073,amypro22_0
60,0.31763539115587863,amypro22_0
61,0.2875248034795125,amypro22_0
62,0.2411350091298421,amypro22_0
63,0.19249357779820753,amypro22_0
64,0.13785858079972965,amypro22_0
65,0.086899049,amypro22_0
66,0.031894656,amypro22_0
67,0.015561593799399469,amypro22_0
68,0.013958097724722956,amypro22_0
69,0.019752011923598385,amypro22_0
70,0.024164012,amypro22_0
71,0.026995275126561514,amypro22_0
72,0.028760530551274574,amypro22_0
73,0.028559626142183894,amypro22_0
74,0.027416442831357274,amypro22_0
75,0.028978212674458773,amypro22_0
76,0.051901388168334915,amypro22_0
77,0.061880011,amypro22_0
78,0.089090064,amypro22_0
79,0.18400987883408862,amypro22_0
80,0.32372537056605016,amypro22_0
81,0.4593522737423579,amypro22_0
82,0.5696687122186025,amypro22_0
83,0.7062880208094914,amypro22_0
84,0.7755349238713581,amypro22_0
85,0.7154790610074997,amypro22_0
86,0.5794996052980423,amypro22_0
87,0.4380154103040696,amypro22_0
88,0.30082737785681574,amypro22_0
89,0.15187623117932766,amypro22_0
90,0.061525485,amypro22_0
91,0.060073834,amypro22_0
92,0.090122841,amypro22_0
93,0.12340000484952418,amypro22_0
94,0.21176178785626687,amypro22_0
95,0.3166139135758082,amypro22_0
96,0.4203388929367065,amypro22_0
97,0.5112899074951808,amypro22_0
98,0.550980016,amypro22_0
99,0.5328813234965007,amypro22_0
100,0.45322984953721374,amypro22_0
101,0.34904304444789885,amypro22_0
102,0.23758672177791593,amypro22_0
103,0.1132860630750656,amypro22_0
104,0.040234217,amypro22_0
105,0.024030442,amypro22_0
106,0.015732590357462512,amypro22_0
107,0.024478679895400954,amypro22_0
108,0.035236018,amypro22_0
109,0.046778459,amypro22_0
110,0.059169298,amypro22_0
111,0.078977611,amypro22_0
112,0.094412183,amypro22_0
113,0.087091255,amypro22_0
114,0.11723378101984656,amypro22_0
115,0.12527898848056787,amypro22_0
116,0.12457795937856035,amypro22_0
117,0.10936069786548608,amypro22_0
118,0.1008648961782455,amypro22_0
119,0.099079343,amypro22_0
120,0.059115534027417455,amypro22_0
121,0.043309286236762945,amypro22_0
122,0.042824693520863794,amypro22_0
123,0.044204778,amypro22_0
124,0.042941167,amypro22_0
125,0.044692664,amypro22_0
126,0.05312108,amypro22_0
127,0.063720588,amypro22_0
128,0.073587507,amypro22_0
129,0.14864903887112932,amypro22_0
130,0.2318457772334416,amypro22_0
131,0.32180628677209216,amypro22_0
132,0.45729952255884804,amypro22_0
133,0.4994935592015584,amypro22_0
134,0.5201534261306128,amypro22_0
135,0.4559847335020701,amypro22_0
136,0.3934026708205541,amypro22_0
137,0.3074596176544825,amypro22_0
138,0.1629169315099716,amypro22_0
139,0.10825281441211697,amypro22_0
140,0.069815133,amypro22_0
141,0.091347343,amypro22_0
142,0.097944038,amypro22_0
143,0.10513935585816697,amypro22_0
144,0.13079270025094347,amypro22_0
145,0.18014396031697588,amypro22_0
146,0.2518392980098724,amypro22_0
147,0.2185452153285344,amypro22_0
148,0.20117235183715818,amypro22_0
149,0.19391375780105588,amypro22_0
150,0.16939755181471502,amypro22_0
151,0.12365952928860978,amypro22_0
152,0.049966832995414684,amypro22_0
153,0.048073606,amypro22_0
154,0.037117749452590894,amypro22_0
155,0.032432471712430265,amypro22_0
156,0.030658832,amypro22_0
157,0.024285027384757945,amypro22_0
158,0.023034093,amypro22_0
159,0.019436512,amypro22_0
160,0.015367953900931708,amypro22_0
161,0.016446865,amypro22_0
162,0.018640722756026618,amypro22_0
163,0.024792525064064305,amypro22_0
164,0.037486439,amypro22_0
165,0.087134591,amypro22_0
166,0.17340449401829872,amypro22_0
167,0.2966964623242044,amypro22_0
168,0.390359394,amypro22_0
169,0.48670597287443035,amypro22_0
170,0.5694348037242889,amypro22_0
