,name,res_value_bool,res_idx,predictions_1,predictions_2,predictions_3,predictions_4,predictions_5,predictions_average,Aggregation label
0, Prolactin__AP00001,0,0,0.73320216,0.8393379,0.5656113,0.75251144,0.76854396,0.7318414,False
1, Prolactin__AP00001,0,1,0.738446,0.84589714,0.6197989,0.78494793,0.767209,0.7512598,False
2, Prolactin__AP00001,0,2,0.7427353,0.8566019,0.617227,0.81254476,0.7810146,0.76202476,False
3, Prolactin__AP00001,0,3,0.73554134,0.8615881,0.62322193,0.825961,0.7957079,0.76840407,False
4, Prolactin__AP00001,0,4,0.75615376,0.88048226,0.6744333,0.8531976,0.812234,0.7953001,False
5, Prolactin__AP00001,0,5,0.78618574,0.88105637,0.6486646,0.84832394,0.81735235,0.7963165,False
6, Prolactin__AP00001,1,6,0.76724887,0.8792034,0.6645498,0.8586367,0.80567396,0.79506254,True
7, Prolactin__AP00001,1,7,0.8157146,0.86858547,0.64848447,0.8409354,0.80094576,0.7949332,True
8, Prolactin__AP00001,1,8,0.79653275,0.8686912,0.64182323,0.8355025,0.79844767,0.7881994,True
9, Prolactin__AP00001,1,9,0.7655005,0.869126,0.6343937,0.82963943,0.80341554,0.780415,True
10, Prolactin__AP00001,1,10,0.74468327,0.8750384,0.66062987,0.8380527,0.805873,0.7848555,True
11, Prolactin__AP00001,1,11,0.79470724,0.87942165,0.6770477,0.85603964,0.8135531,0.8041538,True
12, Prolactin__AP00001,1,12,0.81089216,0.88225496,0.6769105,0.8372221,0.8078848,0.8030329,True
13, Prolactin__AP00001,1,13,0.8789119,0.892854,0.74040055,0.8710492,0.83416736,0.8434766,True
14, Prolactin__AP00001,1,14,0.81042415,0.883653,0.66448003,0.8733528,0.8082734,0.8080367,True
15, Prolactin__AP00001,1,15,0.8106449,0.87940055,0.6582653,0.8500721,0.79427165,0.79853094,True
16, Prolactin__AP00001,1,16,0.8057958,0.88242245,0.67417246,0.86528504,0.8102527,0.8075857,True
17, Prolactin__AP00001,1,17,0.80300903,0.8648863,0.6073594,0.82527655,0.80313265,0.7807328,True
18, Prolactin__AP00001,1,18,0.758239,0.87296766,0.6253967,0.84703887,0.804687,0.7816658,True
19, Prolactin__AP00001,1,19,0.79848456,0.88642365,0.68342984,0.87537074,0.8230566,0.81335306,True
20, Prolactin__AP00001,1,20,0.81598556,0.89740574,0.6628935,0.8620759,0.83078474,0.8138291,True
21, Prolactin__AP00001,1,21,0.8527819,0.89764273,0.75072587,0.8874112,0.8403179,0.8457759,True
22, Prolactin__AP00001,1,22,0.87334657,0.8977511,0.77855295,0.89001334,0.83571184,0.8550752,True
23, Prolactin__AP00001,1,23,0.9201225,0.9149039,0.8559227,0.8979344,0.85611343,0.88899934,True
24, Prolactin__AP00001,1,24,0.85847557,0.90174496,0.72127837,0.8775878,0.8532761,0.84247255,True
25, Prolactin__AP00001,1,25,0.88618577,0.90213364,0.7517022,0.8912517,0.8410137,0.8544574,True
26, Prolactin__AP00001,1,26,0.80873686,0.89817655,0.67064035,0.8727013,0.8305451,0.81616,True
27, Prolactin__AP00001,1,27,0.7559807,0.8861613,0.685639,0.85665715,0.8324845,0.8033846,True
28, Prolactin__AP00001,1,28,0.8179459,0.8880833,0.7123779,0.8703133,0.83907026,0.82555807,True
29, Prolactin__AP00001,1,29,0.83924943,0.8984423,0.6835305,0.8881636,0.82973504,0.82782423,True
30, Prolactin__AP00001,1,30,0.90328926,0.9119704,0.8367964,0.9064899,0.86053634,0.88381654,True
31, Prolactin__AP00001,1,31,0.87017274,0.893212,0.70961046,0.86975414,0.8560426,0.8397584,True
32, Prolactin__AP00001,1,32,0.7881094,0.8817285,0.6758604,0.8487527,0.82057995,0.8030062,True
33, Prolactin__AP00001,1,33,0.7630783,0.8869489,0.66153514,0.85061467,0.8127971,0.79499483,True
34, Prolactin__AP00001,0,34,0.7536663,0.8736516,0.60096544,0.80788845,0.7850603,0.76424646,False
35, Prolactin__AP00001,0,35,0.75180155,0.8601423,0.59043604,0.80270267,0.7848487,0.75798625,False
36, Prolactin__AP00001,0,36,0.76871186,0.86554486,0.6178952,0.82659423,0.81268466,0.77828616,False
37, Prolactin__AP00001,0,37,0.7738787,0.88117224,0.6710415,0.84719926,0.803865,0.7954313,False
38, Prolactin__AP00001,0,38,0.7817378,0.87320083,0.6087057,0.83340746,0.79911375,0.7792331,False
39, Prolactin__AP00001,0,39,0.7338795,0.86004007,0.5899014,0.81130254,0.7982635,0.75867736,False
40, Prolactin__AP00001,0,40,0.7786273,0.8665135,0.654224,0.83379745,0.78529006,0.78369045,False
41, Prolactin__AP00001,0,41,0.77577716,0.8767899,0.6241708,0.83368796,0.7840295,0.7788911,False
42, Prolactin__AP00001,1,42,0.7332728,0.86260736,0.60955745,0.8084564,0.7926691,0.7613126,True
43, Prolactin__AP00001,1,43,0.7260531,0.8476661,0.6148158,0.80524135,0.78016573,0.7547884,True
44, Prolactin__AP00001,1,44,0.7966205,0.845677,0.6211535,0.80702114,0.79488564,0.7730716,True
45, Prolactin__AP00001,1,45,0.73175246,0.87310076,0.6096875,0.84384125,0.78703725,0.76908386,True
46, Prolactin__AP00001,1,46,0.7777128,0.8817424,0.67673093,0.8679148,0.7956711,0.7999544,True
47, Prolactin__AP00001,1,47,0.78350484,0.8575995,0.6150957,0.8347343,0.79115963,0.7764188,True
48, Prolactin__AP00001,1,48,0.73789173,0.84951353,0.55139166,0.80798453,0.76017094,0.74139047,True
49, Prolactin__AP00001,1,49,0.7526223,0.85697263,0.6474864,0.8337014,0.7873547,0.7756275,True
50, Prolactin__AP00001,1,50,0.7401565,0.852837,0.60942054,0.81605023,0.78275794,0.7602445,True
51, Prolactin__AP00001,1,51,0.7733985,0.8531266,0.61359096,0.81864685,0.78654885,0.7690624,True
52, Prolactin__AP00001,1,52,0.73176974,0.86487335,0.6244127,0.83673424,0.7839126,0.7683405,True
53, Prolactin__AP00001,1,53,0.79986703,0.8747324,0.6938586,0.84579474,0.7901228,0.80087507,True
54, Prolactin__AP00001,1,54,0.76607406,0.8577173,0.63650364,0.8401956,0.79324585,0.77874726,True
55, Prolactin__AP00001,1,55,0.8017515,0.8579803,0.658292,0.8218782,0.8062349,0.78922737,True
56, Prolactin__AP00001,1,56,0.7352482,0.8790222,0.6395351,0.8367154,0.8062968,0.7793636,True
57, Prolactin__AP00001,0,57,0.80678886,0.8691496,0.6357943,0.8289117,0.8120095,0.7905308,False
58, Prolactin__AP00001,0,58,0.7528128,0.8763016,0.6529936,0.846653,0.793477,0.7844476,False
59, Prolactin__AP00001,0,59,0.738506,0.8485552,0.6028182,0.79198366,0.7812953,0.75263166,False
60, Prolactin__AP00001,0,60,0.72707254,0.8552222,0.5839941,0.8195562,0.77591383,0.75235176,False
61, Prolactin__AP00001,0,61,0.78230864,0.87080824,0.6679831,0.84956723,0.78887624,0.7919087,False
62, Prolactin__AP00001,0,62,0.75763613,0.85376143,0.57695305,0.79580337,0.80308765,0.7574483,False
63, Prolactin__AP00001,0,63,0.74671966,0.8563899,0.5979341,0.78307664,0.7937531,0.7555747,False
64, Prolactin__AP00001,0,64,0.7314541,0.83269,0.58394945,0.7651627,0.7719615,0.73704356,False
65, Prolactin__AP00001,0,65,0.72355825,0.83080035,0.5736893,0.7635433,0.76057965,0.7304342,False
66, Prolactin__AP00001,0,66,0.7172011,0.8290443,0.5745541,0.76403797,0.74343216,0.72565395,False
67, Prolactin__AP00001,0,67,0.716852,0.82347214,0.51832354,0.74846613,0.751252,0.71167314,False
68, Prolactin__AP00001,0,68,0.7199808,0.8129163,0.5355166,0.7596015,0.7435525,0.71431357,False
69, Prolactin__AP00001,0,69,0.7178122,0.82827634,0.5886815,0.78217214,0.7439025,0.7321689,False
70, Prolactin__AP00001,0,70,0.70698065,0.82813954,0.54154146,0.7658266,0.7468033,0.7178583,False
71, Prolactin__AP00001,0,71,0.7443349,0.8388571,0.616975,0.8015913,0.77090675,0.75453293,False
72, Prolactin__AP00001,0,72,0.7451544,0.8455753,0.62678003,0.82325995,0.7670357,0.76156104,False
73, Prolactin__AP00001,0,73,0.72276944,0.8499858,0.59905195,0.80773705,0.7645755,0.748824,False
74, Prolactin__AP00001,0,74,0.7351511,0.8507446,0.6379671,0.8119269,0.77857155,0.7628723,False
75, Prolactin__AP00001,0,75,0.7833074,0.85839397,0.63489527,0.83154684,0.7991861,0.7814659,False
76, Prolactin__AP00001,0,76,0.7363977,0.86820877,0.62772155,0.8369335,0.7921658,0.77228546,False
77, Prolactin__AP00001,0,77,0.7323366,0.8517954,0.6179427,0.8040386,0.7948222,0.76018703,False
78, Prolactin__AP00001,0,78,0.79111916,0.8681007,0.655209,0.84603536,0.79677546,0.79144794,False
79, Prolactin__AP00001,0,79,0.7880818,0.87778735,0.65137917,0.8666245,0.809114,0.79859734,False
80, Prolactin__AP00001,0,80,0.8146189,0.86627567,0.6550595,0.8465408,0.8172294,0.7999449,False
81, Prolactin__AP00001,0,81,0.88807774,0.9044468,0.7687551,0.89641225,0.8440539,0.8603492,False
82, Prolactin__AP00001,0,82,0.88332963,0.9022634,0.7640697,0.8827537,0.8587278,0.8582288,False
83, Prolactin__AP00001,0,83,0.86184436,0.8997856,0.7897104,0.8755758,0.8444732,0.8542779,False
84, Prolactin__AP00001,0,84,0.87134063,0.89839935,0.7905327,0.8769838,0.8374087,0.8549331,False
85, Prolactin__AP00001,0,85,0.9007559,0.9157974,0.8336146,0.8929924,0.86372477,0.88137704,False
86, Prolactin__AP00001,0,86,0.93437743,0.9245317,0.86721087,0.9164151,0.87909967,0.90432703,False
87, Prolactin__AP00001,0,87,0.8959969,0.8995205,0.7858275,0.8901778,0.848006,0.8639057,False
88, Prolactin__AP00001,0,88,0.8087859,0.8917363,0.6943134,0.8543004,0.8213165,0.81409055,False
89, Prolactin__AP00001,0,89,0.797453,0.90089583,0.6591368,0.86343974,0.81464636,0.8071143,False
90, Prolactin__AP00001,0,90,0.79138947,0.8858353,0.68994033,0.84734166,0.81448805,0.8057989,False
91, Prolactin__AP00001,0,91,0.7803604,0.86326486,0.6235542,0.82974285,0.7908316,0.7775508,False
92, Prolactin__AP00001,0,92,0.771466,0.8769974,0.6577972,0.828134,0.7950815,0.7858952,False
93, Prolactin__AP00001,0,93,0.8219613,0.8947822,0.7611345,0.87323415,0.8157001,0.83336246,False
94, Prolactin__AP00001,0,94,0.8064944,0.87865114,0.6704,0.8385775,0.81511086,0.8018468,False
95, Prolactin__AP00001,0,95,0.8095776,0.86907315,0.62067914,0.82798946,0.80909127,0.7872821,False
96, Prolactin__AP00001,0,96,0.8462312,0.89791054,0.7636224,0.8958319,0.8304632,0.8468119,False
97, Prolactin__AP00001,0,97,0.85784465,0.89490914,0.762527,0.8727159,0.84670776,0.8469409,False
98, Prolactin__AP00001,0,98,0.8878034,0.89638525,0.77108216,0.87213266,0.81745636,0.84897196,False
99, Prolactin__AP00001,0,99,0.8297015,0.87180364,0.64359236,0.83681184,0.80392647,0.7971672,False
100, Prolactin__AP00001,0,100,0.797395,0.895231,0.73752165,0.877099,0.80530804,0.8225109,False
101, Prolactin__AP00001,0,101,0.8378418,0.88841677,0.75818926,0.8634258,0.7964704,0.82886875,False
102, Prolactin__AP00001,0,102,0.846712,0.87668705,0.6362649,0.84372795,0.80929613,0.8025376,False
103, Prolactin__AP00001,0,103,0.7485529,0.88832194,0.6516214,0.85172874,0.79357916,0.7867608,False
104, Prolactin__AP00001,0,104,0.8505005,0.87755483,0.74483454,0.8613434,0.8210125,0.83104914,False
105, Prolactin__AP00001,0,105,0.8077683,0.86257845,0.625352,0.8221156,0.7990506,0.783373,False
106, Prolactin__AP00001,0,106,0.7482077,0.8723597,0.6785363,0.84375167,0.7963181,0.7878347,False
107, Prolactin__AP00001,0,107,0.7915103,0.8686376,0.63758117,0.8237904,0.81007665,0.7863192,False
108, Prolactin__AP00001,0,108,0.7984205,0.8729066,0.6490346,0.8496726,0.8061705,0.79524094,False
109, Prolactin__AP00001,0,109,0.789678,0.87498164,0.6567772,0.8335452,0.8023282,0.79146206,False
110, Prolactin__AP00001,0,110,0.76003414,0.87752306,0.65005696,0.8288637,0.8017377,0.7836431,False
111, Prolactin__AP00001,0,111,0.8579602,0.89150184,0.7453743,0.88114417,0.83534235,0.84226453,False
112, Prolactin__AP00001,0,112,0.86234087,0.8835074,0.68495154,0.8575678,0.837774,0.82522833,False
113, Prolactin__AP00001,0,113,0.78746855,0.885414,0.67902255,0.84174293,0.8178204,0.80229366,False
114, Prolactin__AP00001,0,114,0.8093816,0.8872945,0.6692134,0.8499864,0.81229013,0.8056332,False
115, Prolactin__AP00001,0,115,0.8064983,0.8734637,0.6705184,0.8458579,0.8094782,0.8011633,False
116, Prolactin__AP00001,0,116,0.8154465,0.87549603,0.70414823,0.83309776,0.7950979,0.8046573,False
117, Prolactin__AP00001,0,117,0.866366,0.8910262,0.77898586,0.8507492,0.8193249,0.84129035,False
